Area,Measure,ANZSIC06,Year,Value,Flags
"South Waikato District","Employee Count","Total Industry","2010",7900,
"Waitomo District","Employee Count","Total Industry","2010",4550,
"Waitomo District","Geographic Units","Total Industry","2010",1629,
"Taupo District","Geographic Units","Total Industry","2010",4587,
"Taupo District","Employee Count","Total Industry","2010",13900,
"Taupo District","Employee Count","Total Industry","2011",14200,
"Taupo District","Geographic Units","Total Industry","2011",4596,
"Waitomo District","Geographic Units","Total Industry","2011",1608,
"Waitomo District","Employee Count","Total Industry","2011",4450,
"South Waikato District","Employee Count","Total Industry","2011",7900,
"South Waikato District","Geographic Units","Total Industry","2011",2304,
"Otorohanga District","Geographic Units","Total Industry","2011",1872,
"Otorohanga District","Employee Count","Total Industry","2011",3350,
"Waipa District","Employee Count","Total Industry","2011",16100,
"Waipa District","Geographic Units","Total Industry","2011",6906,
"Hamilton City","Geographic Units","Total Industry","2011",13302,
"Hamilton City","Employee Count","Total Industry","2011",75900,
"Matamata-Piako District","Employee Count","Total Industry","2011",13000,
"Matamata-Piako District","Geographic Units","Total Industry","2011",5256,
"Waikato District","Employee Count","Total Industry","2011",14400,
"Waikato District","Employee Count","Total Industry","2012",15500,
"Matamata-Piako District","Geographic Units","Total Industry","2012",5232,
"Matamata-Piako District","Employee Count","Total Industry","2012",12900,
"Hamilton City","Employee Count","Total Industry","2012",77900,
"Hamilton City","Geographic Units","Total Industry","2012",13278,
"Waipa District","Geographic Units","Total Industry","2012",6870,
"Waipa District","Employee Count","Total Industry","2012",16100,
"Otorohanga District","Employee Count","Total Industry","2012",3350,
"Otorohanga District","Geographic Units","Total Industry","2012",1884,
"South Waikato District","Geographic Units","Total Industry","2012",2298,
"South Waikato District","Employee Count","Total Industry","2012",7900,
"Waitomo District","Employee Count","Total Industry","2012",4500,
"Waitomo District","Geographic Units","Total Industry","2012",1572,
"Taupo District","Geographic Units","Total Industry","2012",4536,
"Taupo District","Employee Count","Total Industry","2012",14300,
"Taupo District","Employee Count","Total Industry","2013",14200,
"Taupo District","Geographic Units","Total Industry","2013",4512,
"Waitomo District","Geographic Units","Total Industry","2013",1560,
"Waitomo District","Employee Count","Total Industry","2013",4450,
"South Waikato District","Employee Count","Total Industry","2013",7600,
"South Waikato District","Geographic Units","Total Industry","2013",2277,
"Otorohanga District","Geographic Units","Total Industry","2013",1890,
"Otorohanga District","Employee Count","Total Industry","2013",3350,
"Waipa District","Employee Count","Total Industry","2013",16100,
"Waipa District","Geographic Units","Total Industry","2013",6846,
"Hamilton City","Geographic Units","Total Industry","2013",13230,
"Hamilton City","Employee Count","Total Industry","2013",77400,
"Matamata-Piako District","Employee Count","Total Industry","2013",13300,
"Matamata-Piako District","Geographic Units","Total Industry","2013",5256,
"Waikato District","Employee Count","Total Industry","2013",15600,
"Waikato District","Employee Count","Total Industry","2014",16000,
"Matamata-Piako District","Geographic Units","Total Industry","2014",5367,
"Matamata-Piako District","Employee Count","Total Industry","2014",13600,
"Hamilton City","Employee Count","Total Industry","2014",79400,
"Hamilton City","Geographic Units","Total Industry","2014",13797,
"Waipa District","Geographic Units","Total Industry","2014",7068,
"Waipa District","Employee Count","Total Industry","2014",16800,
"Otorohanga District","Employee Count","Total Industry","2014",3550,
"Otorohanga District","Geographic Units","Total Industry","2014",1914,
"South Waikato District","Geographic Units","Total Industry","2014",2319,
"South Waikato District","Employee Count","Total Industry","2014",8000,
"Waitomo District","Employee Count","Total Industry","2014",4450,
"Waitomo District","Geographic Units","Total Industry","2014",1602,
"Taupo District","Geographic Units","Total Industry","2014",4647,
"Taupo District","Employee Count","Total Industry","2014",14600,
"Taupo District","Employee Count","Total Industry","2015",15000,
"Taupo District","Geographic Units","Total Industry","2015",4698,
"Waitomo District","Geographic Units","Total Industry","2015",1590,
"Waitomo District","Employee Count","Total Industry","2015",4600,
"South Waikato District","Employee Count","Total Industry","2015",8000,
"South Waikato District","Geographic Units","Total Industry","2015",2364,
"Otorohanga District","Geographic Units","Total Industry","2015",1950,
"Otorohanga District","Employee Count","Total Industry","2015",3500,
"Waipa District","Employee Count","Total Industry","2015",16900,
"Waipa District","Geographic Units","Total Industry","2015",7194,
"Hamilton City","Geographic Units","Total Industry","2015",14031,
