Area,Measure,ANZSIC06,Year,Value,Flags
"Waimate District","Employee Count","I Transport, Postal and Warehousing","2014",90,
"Waimate District","Geographic Units","L Rental, Hiring and Real Estate Services","2014",225,
"Chatham Islands Territory","Geographic Units","L Rental, Hiring and Real Estate Services","2014",27,
"Chatham Islands Territory","Employee Count","I Transport, Postal and Warehousing","2014",35,
"Chatham Islands Territory","Employee Count","K Financial and Insurance Services","2014",3,
"Waitaki District","Employee Count","K Financial and Insurance Services","2014",75,
"Waitaki District","Employee Count","I Transport, Postal and Warehousing","2014",210,
"Waitaki District","Geographic Units","L Rental, Hiring and Real Estate Services","2014",579,
"Central Otago District","Employee Count","J Information Media and Telecommunications","2014",60,
"Central Otago District","Geographic Units","K Financial and Insurance Services","2014",189,
"Central Otago District","Geographic Units","L Rental, Hiring and Real Estate Services","2014",612,
"Central Otago District","Employee Count","I Transport, Postal and Warehousing","2014",380,
"Central Otago District","Employee Count","K Financial and Insurance Services","2014",85,
"Queenstown-Lakes District","Employee Count","K Financial and Insurance Services","2014",290,
"Queenstown-Lakes District","Employee Count","I Transport, Postal and Warehousing","2014",840,
"Queenstown-Lakes District","Geographic Units","L Rental, Hiring and Real Estate Services","2014",1677,
"Queenstown-Lakes District","Geographic Units","K Financial and Insurance Services","2014",531,
"Queenstown-Lakes District","Employee Count","J Information Media and Telecommunications","2014",230,
"Dunedin City","Employee Count","J Information Media and Telecommunications","2014",1100,
"Dunedin City","Geographic Units","K Financial and Insurance Services","2014",858,
"Dunedin City","Geographic Units","L Rental, Hiring and Real Estate Services","2014",2268,
"Dunedin City","Employee Count","I Transport, Postal and Warehousing","2014",2100,
"Dunedin City","Employee Count","K Financial and Insurance Services","2014",1000,
"Clutha District","Employee Count","K Financial and Insurance Services","2014",40,
"Clutha District","Employee Count","I Transport, Postal and Warehousing","2014",260,
"Clutha District","Geographic Units","L Rental, Hiring and Real Estate Services","2014",594,
"Clutha District","Geographic Units","K Financial and Insurance Services","2014",147,
"Clutha District","Employee Count","J Information Media and Telecommunications","2014",45,
"Southland District","Employee Count","J Information Media and Telecommunications","2014",30,
"Southland District","Geographic Units","K Financial and Insurance Services","2014",312,
"Southland District","Geographic Units","L Rental, Hiring and Real Estate Services","2014",1485,
"Southland District","Employee Count","I Transport, Postal and Warehousing","2014",1150,
"Southland District","Employee Count","K Financial and Insurance Services","2014",35,
"Gore District","Employee Count","K Financial and Insurance Services","2014",85,
"Gore District","Employee Count","I Transport, Postal and Warehousing","2014",280,
"Gore District","Geographic Units","L Rental, Hiring and Real Estate Services","2014",408,
"Gore District","Geographic Units","K Financial and Insurance Services","2014",96,
"Gore District","Employee Count","J Information Media and Telecommunications","2014",80,
"Invercargill City","Employee Count","J Information Media and Telecommunications","2014",330,
"Invercargill City","Geographic Units","K Financial and Insurance Services","2014",450,
"Invercargill City","Geographic Units","L Rental, Hiring and Real Estate Services","2014",876,
"Invercargill City","Employee Count","I Transport, Postal and Warehousing","2014",1150,
"Invercargill City","Employee Count","K Financial and Insurance Services","2014",600,
"Total New Zealand (Territorial Authority)","Employee Count","K Financial and Insurance Services","2014",53500,
"Total New Zealand (Territorial Authority)","Geographic Units","N Administrative and Support Services","2014",17256,
"Far North District","Geographic Units","N Administrative and Support Services","2014",141,
"Far North District","Employee Count","K Financial and Insurance Services","2014",270,
"Whangarei District","Employee Count","K Financial and Insurance Services","2014",520,
"Whangarei District","Geographic Units","N Administrative and Support Services","2014",246,
"Kaipara District","Geographic Units","N Administrative and Support Services","2014",45,
"Kaipara District","Employee Count","K Financial and Insurance Services","2014",35,
"Auckland","Employee Count","K Financial and Insurance Services","2014",25700,
"Auckland","Geographic Units","N Administrative and Support Services","2014",7425,
"Thames-Coromandel District","Geographic Units","N Administrative and Support Services","2014",123,
"Thames-Coromandel District","Employee Count","K Financial and Insurance Services","2014",95,
"Hauraki District","Geographic Units","N Administrative and Support Services","2014",39,
"Hauraki District","Employee Count","K Financial and Insurance Services","2014",90,
"Waikato District","Employee Count","K Financial and Insurance Services","2014",45,
"Waikato District","Geographic Units","N Administrative and Support Services","2014",171,
"Matamata-Piako District","Geographic Units","N Administrative and Support Services","2014",78,
"Matamata-Piako District","Employee Count","K Financial and Insurance Services","2014",190,
"Hamilton City","Employee Count","K Financial and Insurance Services","2014",1550,
"Hamilton City","Geographic Units","N Administrative and Support Services","2014",555,
"Waipa District","Geographic Units","N Administrative and Support Services","2014",162,
"Waipa District","Employee Count","K Financial and Insurance Services","2014",180,
"Otorohanga District","Employee Count","K Financial and Insurance Services","2014",25,
"Otorohanga District","Geographic Units","N Administrative and Support Services","2014",18,
"South Waikato District","Geographic Units","N Administrative and Support Services","2014",39,
"South Waikato District","Employee Count","K Financial and Insurance Services","2014",55,
"Waitomo District","Employee Count","K Financial and Insurance Services","2014",35,
"Waitomo District","Geographic Units","N Administrative and Support Services","2014",21,
"Taupo District","Geographic Units","N Administrative and Support Services","2014",162,
"Taupo District","Employee Count","K Financial and Insurance Services","2014",140,
"Taupo District","Employee Count","M Professional, Scientific and Technical Services","2014",750,
"Western Bay of Plenty District","Employee Count","M Professional, Scientific and Technical Services","2014",470,
"Western Bay of Plenty District","Employee Count","K Financial and Insurance Services","2014",100,
"Western Bay of Plenty District","Geographic Units","N Administrative and Support Services","2014",180,
"Tauranga City","Geographic Units","N Administrative and Support Services","2014",486,
"Tauranga City","Employee Count","K Financial and Insurance Services","2014",900,
"Tauranga City","Employee Count","M Professional, Scientific and Technical Services","2014",3550,
"Rotorua District","Employee Count","M Professional, Scientific and Technical Services","2014",1450,
"Rotorua District","Employee Count","K Financial and Insurance Services","2014",410,
"Rotorua District","Geographic Units","N Administrative and Support Services","2014",228,
